ElapsedRealtimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,CarrierFrequencyHz,AngleZ,AngleX,AngleY
946729621,8876786000000,,,-1260194546652284416,0.0,61.609251133631915,2.194086463952556,16.632062685314544,3396,8,0.0,15,405023353334786,564,19.9,155.40333557128906,1.6710000038146973,0,0.0,0.0,,,,,0,,1,,,313.46875,-82.125,-5.21875
946729622,8876786000000,,,-1260194546652284416,0.0,61.609251133631915,2.194086463952556,16.632062685314544,3396,10,0.0,15,405023368731642,12,32.7,-292.93359375,0.008899999782443047,0,0.0,0.0,,,,,0,,1,,,313.46875,-82.125,-5.21875
946729623,8876786000000,,,-1260194546652284416,0.0,61.609251133631915,2.194086463952556,16.632062685314544,3396,12,0.0,15,405023356196326,749,17.8,-495.4771423339844,1.8355000019073486,0,0.0,0.0,,,,,0,,1,,,313.46875,-82.125,-5.21875
946729624,8876786000000,,,-1260194546652284416,0.0,61.609251133631915,2.194086463952556,16.632062685314544,3396,14,0.0,15,405023358379974,21,26.7,-469.3912658691406,0.13819999992847443,0,0.0,0.0,,,,,0,,1,,,313.46875,-82.125,-5.21875
946729624,8876786000000,,,-1260194546652284416,0.0,61.609251133631915,2.194086463952556,16.632062685314544,3396,15,0.0,15,405023357303697,61,18.8,587.836181640625,0.9920000433921814,0,0.0,0.0,,,,,0,,1,,,313.46875,-82.125,-5.21875
946729625,8876786000000,,,-1260194546652284416,0.0,61.609251133631915,2.194086463952556,16.632062685314544,3396,20,0.0,15,405023371495380,564,20.2,60.075714111328125,1.6679999828338623,0,0.0,0.0,,,,,0,,1,,,313.46875,-82.125,-5.21875
946729626,8876786000000,,,-1260194546652284416,0.0,61.609251133631915,2.194086463952556,16.632062685314544,3396,21,0.0,15,405023364679313,20,27.1,464.6971435546875,0.8924999833106995,0,0.0,0.0,,,,,0,,1,,,313.46875,-82.125,-5.21875
946729626,8876786000000,,,-1260194546652284416,0.0,61.609251133631915,2.194086463952556,16.632062685314544,3396,24,0.0,15,405023367876643,46,20.3,311.26336669921875,0.902999997138977,0,0.0,0.0,,,,,0,,1,,,313.46875,-82.125,-5.21875
946729627,8876786000000,,,-1260194546652284416,0.0,61.609251133631915,2.194086463952556,16.632062685314544,3396,27,0.0,15,405023354419728,16,29.4,393.7913818359375,0.047700002789497375,0,0.0,0.0,,,,,0,,1,,,313.46875,-82.125,-5.21875
946729627,8876786000000,,,-1260194546652284416,0.0,61.609251133631915,2.194086463952556,16.632062685314544,3396,32,0.0,15,405023365299753,12,32.3,-349.6834716796875,0.013400000520050526,0,0.0,0.0,,,,,0,,1,,,313.46875,-82.125,-5.21875
946730623,8877786000000,,,-1260194546652284416,0.0,63.70987830450758,5.833992526447739,16.335143763676008,3396,8,0.0,15,405024353334252,495,20.5,156.5070343017578,2.3510000705718994,0,0.0,0.0,,,,,0,,1,,,131.95312,-86.015625,0.234375
946730623,8877786000000,,,-1260194546652284416,0.0,63.70987830450758,5.833992526447739,16.335143763676008,3396,10,0.0,15,405024368732615,11,33.3,-291.35845947265625,0.03490000218153,0,0.0,0.0,,,,,0,,1,,,131.95312,-86.015625,0.234375
946730624,8877786000000,,,-1260194546652284416,0.0,63.70987830450758,5.833992526447739,16.335143763676008,3396,12,0.0,15,405024356198069,868,17.0,-494.3734436035156,2.6755001544952393,0,0.0,0.0,,,,,0,,1,,,131.95312,-86.015625,0.234375
946730625,8877786000000,,,-1260194546652284416,0.0,63.70987830450758,5.833992526447739,16.335143763676008,3396,14,0.0,15,405024358381526,16,29.9,-467.6188049316406,0.053700003772974014,0,0.0,0.0,,,,,0,,1,,,131.95312,-86.015625,0.234375
946730626,8877786000000,,,-1260194546652284416,0.0,63.70987830450758,5.833992526447739,16.335143763676008,3396,15,0.0,15,405024357301818,53,19.7,589.5012817382812,0.9419999718666077,0,0.0,0.0,,,,,0,,1,,,131.95312,-86.015625,0.234375
946730627,8877786000000,,,-1260194546652284416,0.0,63.70987830450758,5.833992526447739,16.335143763676008,3396,20,0.0,15,405024371495163,495,21.4,61.303104400634766,2.3480000495910645,0,0.0,0.0,,,,,0,,1,,,131.95312,-86.015625,0.234375
946730627,8877786000000,,,-1260194546652284416,0.0,63.70987830450758,5.833992526447739,16.335143763676008,3396,21,0.0,15,405024364677807,31,23.8,465.5058898925781,0.67249995470047,0,0.0,0.0,,,,,0,,1,,,131.95312,-86.015625,0.234375
946730628,8877786000000,,,-1260194546652284416,0.0,63.70987830450758,5.833992526447739,16.335143763676008,3396,24,0.0,15,405024367875609,31,23.4,313.65155029296875,0.7369999885559082,0,0.0,0.0,,,,,0,,1,,,131.95312,-86.015625,0.234375
946730628,8877786000000,,,-1260194546652284416,0.0,63.70987830450758,5.833992526447739,16.335143763676008,3396,27,0.0,15,405024354418398,12,32.1,395.4920959472656,0.04490000009536743,0,0.0,0.0,,,,,0,,1,,,131.95312,-86.015625,0.234375
946730629,8877786000000,,,-1260194546652284416,0.0,63.70987830450758,5.833992526447739,16.335143763676008,3396,32,0.0,15,405024365300905,10,34.2,-348.29833984375,0.029600001871585846,0,0.0,0.0,,,,,0,,1,,,131.95312,-86.015625,0.234375
946731617,8878786000000,,,-1260194546652284416,0.0,57.432716857874766,11.329715611290272,13.005451496940196,3396,8,0.0,15,405025353333765,577,19.6,157.13499450683594,3.1710000038146973,0,0.0,0.0,,,,,0,,1,,,186.57812,-86.75,0.828125
946731618,8878786000000,,,-1260194546652284416,0.0,57.432716857874766,11.329715611290272,13.005451496940196,3396,10,0.0,15,405025368733575,14,30.2,-289.7916259765625,0.037800002843141556,0,0.0,0.0,,,,,0,,1,,,186.57812,-86.75,0.828125
946731618,8878786000000,,,-1260194546652284416,0.0,57.432716857874766,11.329715611290272,13.005451496940196,3396,12,0.0,15,405025356199722,877,16.8,-493.80255126953125,3.4255001544952393,0,0.0,0.0,,,,,0,,1,,,186.57812,-86.75,0.828125
946731619,8878786000000,,,-1260194546652284416,0.0,57.432716857874766,11.329715611290272,13.005451496940196,3396,14,0.0,15,405025358383099,12,32.0,-466.00634765625,0.05090000107884407,0,0.0,0.0,,,,,0,,1,,,186.57812,-86.75,0.828125
946731620,8878786000000,,,-1260194546652284416,0.0,57.432716857874766,11.329715611290272,13.005451496940196,3396,15,0.0,15,405025357299880,10,34.4,590.7975463867188,0.047600001096725464,0,0.0,0.0,,,,,0,,1,,,186.57812,-86.75,0.828125
946731620,8878786000000,,,-1260194546652284416,0.0,57.432716857874766,11.329715611290272,13.005451496940196,3396,20,0.0,15,405025371494901,21,26.9,64.836669921875,0.09769999980926514,0,0.0,0.0,,,,,0,,1,,,186.57812,-86.75,0.828125
946731621,8878786000000,,,-1260194546652284416,0.0,57.432716857874766,11.329715611290272,13.005451496940196,3396,21,0.0,15,405025364676065,35,22.7,468.0082702636719,0.7324999570846558,0,0.0,0.0,,,,,0,,1,,,186.57812,-86.75,0.828125
946731622,8878786000000,,,-1260194546652284416,0.0,57.432716857874766,11.329715611290272,13.005451496940196,3396,24,0.0,15,405025367874510,14,30.4,315.08282470703125,0.03629999980330467,0,0.0,0.0,,,,,0,,1,,,186.57812,-86.75,0.828125
946731622,8878786000000,,,-1260194546652284416,0.0,57.432716857874766,11.329715611290272,13.005451496940196,3396,27,0.0,15,405025354417080,10,34.8,397.0323791503906,0.04310000315308571,0,0.0,0.0,,,,,0,,1,,,186.57812,-86.75,0.828125
946731623,8878786000000,,,-1260194546652284416,0.0,57.432716857874766,11.329715611290272,13.005451496940196,3396,32,0.0,15,405025365301991,14,30.2,-346.7442626953125,0.0333000011742115,0,0.0,0.0,,,,,0,,1,,,186.57812,-86.75,0.828125
946732613,8879786000000,,,-1260194546652284416,0.0,53.85859185480513,16.508695860440817,12.464086147314449,3396,8,0.0,15,405026353333242,674,18.6,157.47752380371094,4.000999927520752,0,0.0,0.0,,,,,0,,1,,,226.07812,-84.515625,4.09375
946732614,8879786000000,,,-1260194546652284416,0.0,53.85859185480513,16.508695860440817,12.464086147314449,3396,10,0.0,15,405026368734567,24,25.2,-289.41876220703125,0.3937999904155731,0,0.0,0.0,,,,,0,,1,,,226.07812,-84.515625,4.09375
946732614,8879786000000,,,-1260194546652284416,0.0,53.85859185480513,16.508695860440817,12.464086147314449,3396,12,0.0,15,405026356201515,773,17.5,-491.77593994140625,4.085500240325928,0,0.0,0.0,,,,,0,,1,,,226.07812,-84.515625,4.09375
946732615,8879786000000,,,-1260194546652284416,0.0,53.85859185480513,16.508695860440817,12.464086147314449,3396,14,0.0,15,405026358384547,81,16.8,-464.497314453125,1.1934999227523804,0,0.0,0.0,,,,,0,,1,,,226.07812,-84.515625,4.09375
946732615,8879786000000,,,-1260194546652284416,0.0,53.85859185480513,16.508695860440817,12.464086147314449,3396,15,0.0,15,405026357297920,6,39.6,591.0635375976562,0.045100003480911255,0,0.0,0.0,,,,,0,,1,,,226.07812,-84.515625,4.09375
946732616,8879786000000,,,-1260194546652284416,0.0,53.85859185480513,16.508695860440817,12.464086147314449,3396,20,0.0,15,405026371494720,17,28.9,65.18123626708984,0.049800001084804535,0,0.0,0.0,,,,,0,,1,,,226.07812,-84.515625,4.09375
946732617,8879786000000,,,-1260194546652284416,0.0,53.85859185480513,16.508695860440817,12.464086147314449,3396,21,0.0,15,405026364674443,53,19.3,466.5715637207031,1.002500057220459,0,0.0,0.0,,,,,0,,1,,,226.07812,-84.515625,4.09375
946732617,8879786000000,,,-1260194546652284416,0.0,53.85859185480513,16.508695860440817,12.464086147314449,3396,24,0.0,15,405026367873455,10,34.4,315.49151611328125,0.032600000500679016,0,0.0,0.0,,,,,0,,1,,,226.07812,-84.515625,4.09375
946732618,8879786000000,,,-1260194546652284416,0.0,53.85859185480513,16.508695860440817,12.464086147314449,3396,27,0.0,15,405026354415723,19,27.9,397.7106018066406,0.062300004065036774,0,0.0,0.0,,,,,0,,1,,,226.07812,-84.515625,4.09375
946732618,8879786000000,,,-1260194546652284416,0.0,53.85859185480513,16.508695860440817,12.464086147314449,3396,32,0.0,15,405026365303132,27,24.4,-346.37255859375,0.6739999651908875,0,0.0,0.0,,,,,0,,1,,,226.07812,-84.515625,4.09375
946733626,8880786000000,,,-1260194546652284416,0.0,53.85951590142213,17.969422562003256,14.272589848251142,3396,8,0.0,15,405027353332737,786,17.5,157.3633575439453,4.831000328063965,0,0.0,0.0,,,,,0,,1,,,275.96875,-83.90625,1.96875
946733627,8880786000000,,,-1260194546652284416,0.0,53.85951590142213,17.969422562003256,14.272589848251142,3396,10,0.0,15,405027368735518,46,20.2,-288.8467712402344,0.9284999966621399,0,0.0,0.0,,,,,0,,1,,,275.96875,-83.90625,1.96875
946733627,8880786000000,,,-1260194546652284416,0.0,53.85951590142213,17.969422562003256,14.272589848251142,3396,12,0.0,15,405027356203197,786,17.9,-491.24310302734375,4.835500240325928,0,0.0,0.0,,,,,0,,1,,,275.96875,-83.90625,1.96875
946733628,8880786000000,,,-1260194546652284416,0.0,53.85951590142213,17.969422562003256,14.272589848251142,3396,14,0.0,15,405027358386046,81,16.0,-465.5344543457031,1.2834999561309814,0,0.0,0.0,,,,,0,,1,,,275.96875,-83.90625,1.96875
946733628,8880786000000,,,-1260194546652284416,0.0,53.85951590142213,17.969422562003256,14.272589848251142,3396,15,0.0,15,405027357295957,9,35.6,591.3197631835938,0.0471000038087368,0,0.0,0.0,,,,,0,,1,,,275.96875,-83.90625,1.96875
946733628,8880786000000,,,-1260194546652284416,0.0,53.85951590142213,17.969422562003256,14.272589848251142,3396,20,0.0,15,405027371494480,24,25.9,65.37081909179688,0.3982999920845032,0,0.0,0.0,,,,,0,,1,,,275.96875,-83.90625,1.96875
946733629,8880786000000,,,-1260194546652284416,0.0,53.85951590142213,17.969422562003256,14.272589848251142,3396,21,0.0,15,405027364673101,21,26.6,468.0455017089844,0.11720000207424164,0,0.0,0.0,,,,,0,,1,,,275.96875,-83.90625,1.96875
946733629,8880786000000,,,-1260194546652284416,0.0,53.85951590142213,17.969422562003256,14.272589848251142,3396,24,0.0,15,405027367872430,13,31.3,315.7157897949219,0.0357000008225441,0,0.0,0.0,,,,,0,,1,,,275.96875,-83.90625,1.96875
946733630,8880786000000,,,-1260194546652284416,0.0,53.85951590142213,17.969422562003256,14.272589848251142,3396,27,0.0,15,405027354414191,46,20.6,396.6481628417969,0.8675000071525574,0,0.0,0.0,,,,,0,,1,,,275.96875,-83.90625,1.96875
946733630,8880786000000,,,-1260194546652284416,0.0,53.85951590142213,17.969422562003256,14.272589848251142,3396,32,0.0,15,405027365303986,61,18.2,-345.9729309082031,1.0839999914169312,0,0.0,0.0,,,,,0,,1,,,275.96875,-83.90625,1.96875
946734632,8881786000000,,,-1260194546652284416,0.0,58.27490167575888,18.194265368158014,16.091834584338713,3396,8,0.0,15,405028353332225,916,16.7,157.4014129638672,5.671000003814697,0,0.0,0.0,,,,,0,,1,,,329.45312,-85.484375,-1.34375
946734633,8881786000000,,,-1260194546652284416,0.0,58.27490167575888,18.194265368158014,16.091834584338713,3396,10,0.0,15,405028368736338,46,20.6,-288.266357421875,0.8585000038146973,0,0.0,0.0,,,,,0,,1,,,329.45312,-85.484375,-1.34375
946734634,8881786000000,,,-1260194546652284416,0.0,58.27490167575888,18.194265368158014,16.091834584338713,3396,12,0.0,15,405028356204843,108,19.2,-490.7293395996094,5.505500316619873,0,0.0,0.0,,,,,0,,1,,,329.45312,-85.484375,-1.34375
946734634,8881786000000,,,-1260194546652284416,0.0,58.27490167575888,18.194265368158014,16.091834584338713,3396,14,0.0,15,405028358387660,81,16.8,-465.1062927246094,1.1934999227523804,0,0.0,0.0,,,,,0,,1,,,329.45312,-85.484375,-1.34375
946734635,8881786000000,,,-1260194546652284416,0.0,58.27490167575888,18.194265368158014,16.091834584338713,3396,15,0.0,15,405028357293971,7,37.2,591.401123046875,0.04610000178217888,0,0.0,0.0,,,,,0,,1,,,329.45312,-85.484375,-1.34375
946734636,8881786000000,,,-1260194546652284416,0.0,58.27490167575888,18.194265368158014,16.091834584338713,3396,20,0.0,15,405028371494321,31,23.6,65.72743225097656,0.6829999685287476,0,0.0,0.0,,,,,0,,1,,,329.45312,-85.484375,-1.34375
